page,text,x0,top,x1,bottom
0,AS,326.7278595578482,196.31579588103023,333.93808673331887,201.71954465735462
0,BIKE,335.43977751992475,196.31579588103023,347.7568090697366,201.71954465735462
0,RACING,349.25849985634255,196.31579588103023,370.2795318082982,201.71954465735462
0,/,371.78122259490414,196.31579588103023,373.28291338151,201.71954465735462
0,FRANCE,374.78460416811595,196.31579588103023,397.0064609264409,201.71954465735462
0,LITERIE,398.5081517130468,196.31579588103023,418.93272998773386,201.71954465735462
0,HENDRIKX,44.46511984710719,205.1033374250053,82.10327979217234,212.30833579343778
0,Mees,84.10553417431353,205.1033374250053,102.1328613965909,212.30833579343778
0,32MASON,316.31191404325637,205.1033374250053,353.5524381674423,212.30833579343778
0,Cameron,355.5546925495835,205.1033374250053,386.791972346782,212.30833579343778
0,5,38.056029048488966,208.10542007851882,42.064056704274655,215.3104184469513
